이름,위도,경도,구,최근역,백명점장르,최신연도,타베로그점수,리뷰수,타베로그,구글지도
ソーワ,35.662571,139.746519,미나토구,神谷町駅,아이스·젤라토,2026,3.57,269,https://tabelog.com/tokyo/A1307/A130704/13259026/,https://www.google.com/maps/search/?api=1&query=%E3%82%BD%E3%83%BC%E3%83%AF%20%E7%A5%9E%E8%B0%B7%E7%94%BA%E9%A7%85
スペールフルッタ,35.72055,139.740082,분쿄구,茗荷谷駅,아이스·젤라토,2026,3.66,369,https://tabelog.com/tokyo/A1323/A132302/13008466/,https://www.google.com/maps/search/?api=1&query=%E3%82%B9%E3%83%9A%E3%83%BC%E3%83%AB%E3%83%95%E3%83%AB%E3%83%83%E3%82%BF%20%E8%8C%97%E8%8D%B7%E8%B0%B7%E9%A7%85
デイリーチコ,35.709256,139.665661,나카노구,中野駅,아이스·젤라토,2026,3.63,1060,https://tabelog.com/tokyo/A1319/A131902/13001083/,https://www.google.com/maps/search/?api=1&query=%E3%83%87%E3%82%A4%E3%83%AA%E3%83%BC%E3%83%81%E3%82%B3%20%E4%B8%AD%E9%87%8E%E9%A7%85
伊太利亜のじぇらぁとや,35.711394,139.797159,다이토구,浅草（東武・都営・メトロ）駅,아이스·젤라토,2026,3.69,936,https://tabelog.com/tokyo/A1311/A131102/13038982/,https://www.google.com/maps/search/?api=1&query=%E4%BC%8A%E5%A4%AA%E5%88%A9%E4%BA%9C%E3%81%AE%E3%81%98%E3%81%87%E3%82%89%E3%81%81%E3%81%A8%E3%82%84%20%E6%B5%85%E8%8D%89%EF%BC%88%E6%9D%B1%E6%AD%A6%E3%83%BB%E9%83%BD%E5%96%B6%E3%83%BB%E3%83%A1%E3%83%88%E3%83%AD%EF%BC%89%E9%A7%85
ジェラテリア アクオリーナ,35.638016,139.691051,메구로구,祐天寺駅,아이스·젤라토,2026,3.97,1723,https://tabelog.com/tokyo/A1317/A131701/13141364/,https://www.google.com/maps/search/?api=1&query=%E3%82%B8%E3%82%A7%E3%83%A9%E3%83%86%E3%83%AA%E3%82%A2%20%E3%82%A2%E3%82%AF%E3%82%AA%E3%83%AA%E3%83%BC%E3%83%8A%20%E7%A5%90%E5%A4%A9%E5%AF%BA%E9%A7%85
アテスウェイ グラスエショコラ,35.708953,139.590835,武蔵野구,西荻窪駅,아이스·젤라토,2026,3.72,434,https://tabelog.com/tokyo/A1320/A132001/13207906/,https://www.google.com/maps/search/?api=1&query=%E3%82%A2%E3%83%86%E3%82%B9%E3%82%A6%E3%82%A7%E3%82%A4%20%E3%82%B0%E3%83%A9%E3%82%B9%E3%82%A8%E3%82%B7%E3%83%A7%E3%82%B3%E3%83%A9%20%E8%A5%BF%E8%8D%BB%E7%AA%AA%E9%A7%85
壽々喜園 浅草本店,35.716353,139.796948,다이토구,浅草（つくばＥＸＰ）駅,아이스·젤라토,2026,3.69,1431,https://tabelog.com/tokyo/A1311/A131102/13153620/,https://www.google.com/maps/search/?api=1&query=%E5%A3%BD%E3%80%85%E5%96%9C%E5%9C%92%20%E6%B5%85%E8%8D%89%E6%9C%AC%E5%BA%97%20%E6%B5%85%E8%8D%89%EF%BC%88%E3%81%A4%E3%81%8F%E3%81%B0%EF%BC%A5%EF%BC%B8%EF%BC%B0%EF%BC%89%E9%A7%85
東毛酪農 63℃,35.71011,139.81189,스미다구,押上駅,아이스·젤라토,2026,3.69,892,https://tabelog.com/tokyo/A1312/A131203/13141281/,https://www.google.com/maps/search/?api=1&query=%E6%9D%B1%E6%AF%9B%E9%85%AA%E8%BE%B2%2063%E2%84%83%20%E6%8A%BC%E4%B8%8A%E9%A7%85
茶の池田や,35.690419,139.698766,신주쿠구,新宿駅,아이스·젤라토,2026,3.7,923,https://tabelog.com/tokyo/A1304/A130401/13049584/,https://www.google.com/maps/search/?api=1&query=%E8%8C%B6%E3%81%AE%E6%B1%A0%E7%94%B0%E3%82%84%20%E6%96%B0%E5%AE%BF%E9%A7%85
ウッドベリーズ 本店,35.702387,139.579382,武蔵野구,吉祥寺駅,아이스·젤라토,2026,3.76,1052,https://tabelog.com/tokyo/A1320/A132001/13005904/,https://www.google.com/maps/search/?api=1&query=%E3%82%A6%E3%83%83%E3%83%89%E3%83%99%E3%83%AA%E3%83%BC%E3%82%BA%20%E6%9C%AC%E5%BA%97%20%E5%90%89%E7%A5%A5%E5%AF%BA%E9%A7%85
ダ ルチアーノ,35.630319,139.402988,八王子구,京王堀之内駅,아이스·젤라토,2026,3.63,451,https://tabelog.com/tokyo/A1329/A132904/13043497/,https://www.google.com/maps/search/?api=1&query=%E3%83%80%20%E3%83%AB%E3%83%81%E3%82%A2%E3%83%BC%E3%83%8E%20%E4%BA%AC%E7%8E%8B%E5%A0%80%E4%B9%8B%E5%86%85%E9%A7%85
